n,e,k,separation,seed,n,e,k,mode,eta,steps,steps_run,settled_at,basis,basis_step,objective,max_load,overflow,cycle_length,band_width,cycle_objective_mean,divisible,default_cap,lp_objective,vanilla_objective,vanilla_max_load,balanced_load,oracle_max_load,span,gap_at_default_cap,matched_cap,matched_lp_objective,gap_at_matched_cap,gap_at_per_expert_cap,gap_over_span,matched_lp_unconstrained,cycle_best_step,cycle_best_max_load,cycle_best_objective,cycle_best_gap_at_matched_cap,cycle_best_gap_over_span,set_agreement,untied_set_agreement,tied_tokens,median_tie_margin,min_tie_margin,oracle_min_margin,oracle_exact_ties,excess_tokens,tier,dual_correlation,dual_linf
512,8,2,0.2,0,512,8,2,deployed,0.001,2000,9,,cycle_worst,6,569.1344495746575,131,0.0234375,4,0.001,569.1372190205473,True,128,569.1434887778876,569.2033305831234,138,128.0,128,0.05984180523580562,nan,131,569.1870067290313,0.0525571543737442,0.019130762252530076,0.8782681967337652,False,8,130,569.1443184179957,0.04268831103559023,0.7133526615278009,0.98828125,0.994059405940594,7,0.01449966982364792,3.5118177537096784e-06,0.0,5,6,unconverged,0.9824171015128753,0.000774860566140389
512,8,2,0.2,0,512,8,2,deployed,0.01,2000,2,,cycle_worst,1,567.8519120068196,171,0.3359375,2,0.01,568.5276212949715,True,128,569.1434887778876,569.2033305831234,138,128.0,128,0.05984180523580562,nan,171,nan,nan,nan,nan,True,0,138,569.2033305831234,nan,nan,0.78515625,0.7900990099009901,7,0.013641248101881609,1.839955968185869e-05,0.0,5,109,unconverged,0.9106005603132109,0.010376083957102811
512,8,2,0.2,0,512,8,2,deployed,0.1,2000,2,,cycle_worst,1,530.9495167707263,354,1.765625,2,0.1,550.0764236769248,True,128,569.1434887778876,569.2033305831234,138,128.0,128,0.05984180523580562,nan,354,nan,nan,nan,nan,True,0,138,569.2033305831234,nan,nan,0.1015625,0.100990099009901,7,0.035546387832673165,0.00015476005479764243,0.0,5,640,unconverged,0.9106005603132109,0.12287608395710281
512,8,2,0.2,1,512,8,2,annealed,0.01,40000,12332,12331,trajectory_closest,12331,569.2694125266794,128,0.0,,nan,nan,True,128,569.2694125266794,569.3016720274803,135,128.0,128,0.03225950080093298,0.0,128,569.2694125266794,0.0,0.0,0.0,False,,,nan,nan,nan,1.0,1.0,6,0.013620242801726856,5.3319121340322795e-09,0.0,1,0,settled,0.9946931995958441,0.00022855325268031227
512,8,2,0.2,1,512,8,2,deployed,0.001,2000,5,,cycle_worst,3,569.2448633592157,133,0.0390625,2,0.001,569.2551866534355,True,128,569.2694125266794,569.3016720274803,135,128.0,128,0.03225950080093298,nan,133,569.3012757941817,0.05641243496597781,0.038961371168852565,1.7487076230375609,False,4,132,569.2655099476553,0.035765846526373934,1.1086918780013961,0.97265625,0.9782608695652174,6,0.013474811270576537,1.2810394414253246e-05,0.0,1,11,unconverged,0.9285892943536523,0.0011033674278959323
512,8,2,0.2,1,512,8,2,deployed,0.01,2000,4,,cycle_worst,3,569.0107540422332,159,0.2421875,2,0.01,569.0722319326813,True,128,569.2694125266794,569.3016720274803,135,128.0,128,0.03225950080093298,nan,159,nan,nan,nan,nan,True,2,142,569.1337098231295,nan,nan,0.8671875,0.8695652173913043,6,0.013436594173699357,2.251027672439676e-05,0.0,1,57,unconverged,0.26796378586390923,0.007039504747441687
512,8,2,0.2,1,512,8,2,deployed,0.1,2000,4,,cycle_worst,2,544.9637485846581,400,2.125,2,0.1,552.9710088075188,True,128,569.2694125266794,569.3016720274803,135,128.0,128,0.03225950080093298,nan,400,nan,nan,nan,nan,True,3,183,560.9782690303796,nan,nan,0.197265625,0.1976284584980237,6,0.026436196381885935,1.3674756424331136e-05,0.0,1,520,unconverged,0.26796378586390934,0.0745395047474417
512,8,2,0.2,2,512,8,2,annealed,0.01,40000,26486,26485,trajectory_closest,26485,568.8968986445966,128,0.0,,nan,nan,True,128,568.8968986445966,568.9589999838745,142,128.0,128,0.062101339277887746,0.0,128,568.8968986445966,0.0,0.0,0.0,False,,,nan,nan,nan,1.0,1.0,7,0.014030925190927607,1.8751448171983043e-09,0.0,5,0,settled,0.9974806387229618,0.0003319656701920213
512,8,2,0.2,2,512,8,2,deployed,0.001,2000,9,,cycle_worst,7,568.8841477145654,133,0.0390625,2,0.001,568.8949729325911,True,128,568.8968986445966,568.9589999838745,142,128.0,128,0.062101339277887746,nan,133,568.9488598448745,0.06471213030908984,0.04655153295243508,1.0420408168577406,False,8,131,568.905798150617,0.04306169425751705,0.6934100738927205,0.970703125,0.9782178217821782,7,0.014299162629794249,4.704398684607369e-06,0.0,5,14,unconverged,0.9517568356369621,0.00100613882574363
512,8,2,0.2,2,512,8,2,deployed,0.01,2000,2,,cycle_worst,1,567.5613509086907,163,0.2734375,2,0.01,568.2601754462826,True,128,568.8968986445966,568.9589999838745,142,128.0,128,0.062101339277887746,nan,163,nan,nan,nan,nan,True,0,142,568.9589999838745,nan,nan,0.759765625,0.7683168316831683,7,0.013278346200055968,2.9297539477779466e-06,0.0,5,117,unconverged,0.7421891068489397,0.01100613882574363
512,8,2,0.2,2,512,8,2,deployed,0.1,2000,2,,cycle_worst,1,544.8964623315892,266,1.078125,2,0.1,556.9277311577318,True,128,568.8968986445966,568.9589999838745,142,128.0,128,0.062101339277887746,nan,266,nan,nan,nan,nan,True,0,142,568.9589999838745,nan,nan,0.20703125,0.2079207920792079,7,0.022468538848712083,0.00025433487482717787,0.0,5,512,unconverged,0.7421891068489399,0.10100613882574364
2048,64,8,2.0,0,2048,64,8,annealed,0.01,40000,40000,,trajectory_closest,28897,15545.452754867463,257,0.00390625,,nan,nan,True,256,15545.415144130871,15549.220549641223,287,256.0,256,3.805405510351193,nan,257,15546.1441746175,0.691419750037312,0.05619448003562866,0.18169410543937073,False,,,nan,nan,nan,0.99609375,0.9989954796584631,57,0.008522009948673637,1.5853984791647235e-13,0.0,37,7,tie_slack,0.9994289752776255,0.0008234626201135183
2048,64,8,2.0,0,2048,64,8,deployed,0.001,2000,22,,cycle_worst,21,15545.719773813402,261,0.01953125,2,0.0010000000000000009,15545.405181907641,True,256,15545.415144130871,15549.220549641223,287,256.0,256,3.805405510351193,nan,261,15547.669685071633,1.9499112582307134,0.6211019220063463,0.5124056432163941,False,20,260,15545.090590001882,2.5790950697501103,0.6777451345814893,0.95947265625,0.9693621295831241,57,0.008519029322357596,2.574613433248274e-05,0.0,37,72,unconverged,0.995795479944802,0.0012846406872354388
2048,64,8,2.0,0,2048,64,8,deployed,0.01,2000,7,,cycle_worst,6,15544.316765976133,288,0.125,2,0.01,15542.681527956356,True,256,15545.415144130871,15549.220549641223,287,256.0,256,3.805405510351193,nan,288,nan,nan,nan,nan,True,5,285,15541.046289936578,nan,nan,0.73876953125,0.747865394274234,57,0.008470670619345921,1.6784613654508007e-06,0.0,37,453,unconverged,0.6643611224898831,0.011541399240188724
2048,64,8,2.0,0,2048,64,8,deployed,0.1,2000,4,,cycle_worst,3,14884.522946934956,576,1.25,2,0.1,15207.35507332924,True,256,15545.415144130871,15549.220549641223,287,256.0,256,3.805405510351193,nan,576,nan,nan,nan,nan,True,2,296,15530.187199723521,nan,nan,0.00927734375,0.009542943244600702,57,0.010093566127353737,2.5351288438946185e-05,0.0,37,6559,unconverged,0.7868509243174792,0.12766859604652545
2048,64,8,2.0,1,2048,64,8,annealed,0.01,40000,25583,25582,trajectory_closest,25582,15545.263196349833,256,0.0,,nan,nan,True,256,15545.263196349833,15547.732141454826,288,256.0,256,2.4689451049925992,0.0,256,15545.263196349833,0.0,0.0,0.0,False,,,nan,nan,nan,1.0,1.0,58,0.008269466214524734,5.0182080713057076e-14,0.0,44,0,settled,0.9990014977067936,0.0011298579770465693
2048,64,8,2.0,1,2048,64,8,deployed,0.001,2000,16,,cycle_worst,12,15545.148630665479,261,0.01953125,4,0.0010000000000000009,15545.249808193057,True,256,15545.263196349833,15547.732141454826,288,256.0,256,2.4689451049925992,nan,261,15546.823026740967,1.6743960754884029,0.6589666563249921,0.6781827883100795,False,13,260,15545.376087955823,1.4469387851440842,0.5860554704995847,0.95751953125,0.9698643897538926,57,0.008363332009105884,2.9075620763263643e-06,0.0,44,78,unconverged,0.9910977557161863,0.0015018690780404347
2048,64,8,2.0,1,2048,64,8,deployed,0.01,2000,8,,cycle_worst,7,15539.451656369132,287,0.12109375,2,0.01,15542.663673377047,True,256,15545.263196349833,15547.732141454826,288,256.0,256,2.4689451049925992,nan,287,15547.731985059136,8.280328690003444,6.394082870099737,3.353792141129142,False,6,281,15545.87569038496,1.8562946741749329,0.7518574108517886,0.7431640625,0.7528879959819186,57,0.008324734861651362,1.8870624927114221e-06,0.0,44,462,unconverged,0.8458426288981868,0.011081460221752928
2048,64,8,2.0,1,2048,64,8,deployed,0.1,2000,10,,cycle_worst,8,15487.134205002225,488,0.90625,2,0.1,15453.836979409294,True,256,15545.263196349833,15547.732141454826,288,256.0,256,2.4689451049925992,nan,488,nan,nan,nan,nan,True,9,322,15420.539753816363,nan,nan,0.40283203125,0.4088397790055249,57,0.008681504299514309,8.444290154119294e-06,0.0,44,1320,unconverged,-0.18834541129095891,0.09810373411133083
2048,64,8,2.0,2,2048,64,8,annealed,0.01,40000,40000,,trajectory_closest,31349,15543.22472257504,257,0.00390625,,nan,nan,True,256,15543.144293267977,15546.275160916228,293,256.0,256,3.1308676482512965,nan,257,15543.735486561052,0.5107639860125346,0.09301023122679908,0.16313815957624872,False,,,nan,nan,nan,0.9931640625,0.9994972347913524,59,0.008387392008612604,1.6680656855783127e-10,0.0,52,12,tie_slack,0.9996077777270371,0.000533870751303801
2048,64,8,2.0,2,2048,64,8,deployed,0.001,2000,23,,cycle_worst,22,15542.75137232421,263,0.02734375,4,0.0010000000000000009,15543.021935101367,True,256,15543.144293267977,15546.275160916228,293,256.0,256,3.1308676482512965,nan,263,15545.312226119167,2.5608537949574384,0.8880406091466284,0.8179374162902633,False,19,261,15543.283303076245,2.0289230429225427,0.6480385857434025,0.9580078125,0.9708835341365462,56,0.008318557169182339,3.35018363872841e-06,0.0,52,76,unconverged,0.9948991992504257,0.0014188173335964987
2048,64,8,2.0,2,2048,64,8,deployed,0.01,2000,9,,cycle_worst,8,15542.496069282062,294,0.1484375,2,0.01,15540.267630940543,True,256,15543.144293267977,15546.275160916228,293,256.0,256,3.1308676482512965,nan,294,nan,nan,nan,nan,True,7,287,15538.039192599026,nan,nan,0.74951171875,0.7595381526104418,56,0.008661911947156598,1.4453931719282664e-05,0.0,52,461,unconverged,0.5756437660314022,0.009843343692225358
2048,64,8,2.0,2,2048,64,8,deployed,0.1,2000,12,,cycle_worst,11,15416.07753985651,604,1.359375,2,0.1,15436.115630445034,True,256,15543.144293267977,15546.275160916228,293,256.0,256,3.1308676482512965,nan,604,nan,nan,nan,nan,True,10,331,15456.15372103356,nan,nan,0.2392578125,0.24347389558232932,56,0.008452094550828293,2.467616871948408e-06,0.0,52,2133,unconverged,0.4126274290773307,0.1678868086045768
2048,64,8,0.2,0,2048,64,8,annealed,0.01,40000,40000,,trajectory_closest,21155,9498.72765359261,258,0.0078125,,nan,nan,True,256,9498.705918561616,9499.86126326758,287,256.0,256,1.1553447059632163,nan,258,9499.073296900104,0.3456433074934466,0.0730537806666689,0.2991689888822247,False,,,nan,nan,nan,0.9873046875,0.9964824120603015,58,0.002532328375578763,3.8679159874988045e-10,0.0,45,25,unconverged,0.9993507029432116,0.00019452547667654467
2048,64,8,0.2,0,2048,64,8,deployed,0.001,2000,9,,cycle_worst,8,9498.49874547894,268,0.046875,2,0.001,9498.594891971212,True,256,9498.705918561616,9499.86126326758,287,256.0,256,1.1553447059632163,nan,268,9499.694114113558,1.195368634616898,0.5714706131329876,1.0346424131664786,False,7,267,9498.691038463483,1.0030756500746065,0.86820465346603,0.90185546875,0.9156202913108991,57,0.0024912965971903844,3.529822771852764e-07,0.0,45,169,unconverged,0.9614907034732801,0.001256878753108107
2048,64,8,0.2,0,2048,64,8,deployed,0.01,2000,5,,cycle_worst,4,9498.027387505792,362,0.4140625,2,0.01,9486.18665254347,True,256,9498.705918561616,9499.86126326758,287,256.0,256,1.1553447059632163,nan,362,nan,nan,nan,nan,True,3,345,9474.345917581148,nan,nan,0.6201171875,0.6313410346559518,57,0.0026171618318731604,3.529822771852764e-07,0.0,45,647,unconverged,-0.027598441385956258,0.010550070245053429
2048,64,8,0.2,0,2048,64,8,deployed,0.1,2000,2000,,trajectory_closest,0,9499.86126326758,287,0.12109375,,33.40000000000029,nan,True,256,9498.705918561616,9499.86126326758,287,256.0,256,1.1553447059632163,nan,287,nan,nan,nan,nan,True,,,nan,nan,nan,0.7275390625,0.7403314917127072,57,0.0026055464210821278,3.529822771852764e-07,0.0,45,469,unconverged,nan,0.004621545008648753
2048,64,8,0.2,1,2048,64,8,annealed,0.01,40000,40000,,trajectory_closest,30873,9498.022680245725,257,0.00390625,,nan,nan,True,256,9498.017215834238,9498.76198657509,288,256.0,256,0.7447707408518909,nan,257,9498.170571064153,0.14789081842718588,0.04880177160339372,0.1985722723989183,False,,,nan,nan,nan,0.990234375,0.9974861739567622,59,0.002459788586962053,9.197809180960803e-11,0.0,34,18,unconverged,0.9986656227967229,0.0003024426170037224
2048,64,8,0.2,1,2048,64,8,deployed,0.001,2000,10,,cycle_worst,8,9497.91211297295,272,0.0625,2,0.001,9497.918147373823,True,256,9498.017215834238,9498.76198657509,288,256.0,256,0.7447707408518909,nan,272,9498.731540837154,0.8194278642040445,0.37046104349610687,1.1002417512626215,False,9,268,9497.924181774695,0.8073590624589997,1.0840370306915097,0.90576171875,0.9160382101558572,59,0.0025210490793811102,1.923808824466633e-06,0.0,34,164,unconverged,0.9412076374897962,0.001144140475694183
2048,64,8,0.2,1,2048,64,8,deployed,0.01,2000,21,,cycle_worst,20,9482.575327100152,387,0.51171875,2,0.01,9488.670372608802,True,256,9498.017215834238,9498.76198657509,288,256.0,256,0.7447707408518909,nan,387,nan,nan,nan,nan,True,19,302,9494.765418117451,nan,nan,0.29296875,0.2971342383107089,59,0.0026771415640217677,3.329774385774087e-06,0.0,34,1750,unconverged,0.4184333199627859,0.013639261820183667
2048,64,8,0.2,1,2048,64,8,deployed,0.1,2000,10,,cycle_worst,9,8977.046681312282,2025,6.91015625,2,0.1,9216.426406501676,True,256,9498.017215834238,9498.76198657509,288,256.0,256,0.7447707408518909,nan,2025,nan,nan,nan,nan,True,8,316,9455.806131691072,nan,nan,0.0,0.0,59,0.004152006627510418,7.076673622208318e-06,0.0,34,9031,unconverged,0.3088123881622437,0.18312053569889447
2048,64,8,0.2,2,2048,64,8,annealed,0.01,40000,40000,,trajectory_closest,19907,9495.784010352216,258,0.0078125,,nan,nan,True,256,9495.766604485516,9496.72141034195,293,256.0,256,0.9548058564341773,nan,258,9496.059396242857,0.2753858906417008,0.0905212697416573,0.28842082271065905,False,,,nan,nan,nan,0.98486328125,0.9929824561403509,53,0.002495609510385577,2.5272615111759933e-09,0.0,53,28,unconverged,0.9994561881428692,0.000139183345004284
2048,64,8,0.2,2,2048,64,8,deployed,0.001,2000,13,,cycle_worst,11,9495.718622855344,269,0.05078125,2,0.001,9495.665456967907,True,256,9495.766604485516,9496.72141034195,293,256.0,256,0.9548058564341773,nan,269,9496.594138455386,0.8755156000424904,0.3791785815919866,0.916956671497801,False,12,266,9495.61229108047,0.9818473749164696,1.0283214836818049,0.9052734375,0.9192982456140351,53,0.0024595774643917934,7.30294290596234e-07,0.0,53,172,unconverged,0.9477953941209097,0.0011503673489712306
2048,64,8,0.2,2,2048,64,8,deployed,0.01,2000,3,,cycle_worst,1,9469.065760043639,363,0.41796875,2,0.01,9482.669349262374,True,256,9495.766604485516,9496.72141034195,293,256.0,256,0.9548058564341773,nan,363,nan,nan,nan,nan,True,2,347,9496.272938481108,nan,nan,0.19482421875,0.19799498746867167,53,0.002649149226455705,1.377558327297912e-06,0.0,53,2357,unconverged,0.8104139909949085,0.010759742348971231
2048,64,8,0.2,2,2048,64,8,deployed,0.1,2000,2000,,trajectory_closest,0,9496.72141034195,293,0.14453125,,33.40000000000029,nan,True,256,9495.766604485516,9496.72141034195,293,256.0,256,0.9548058564341773,nan,293,nan,nan,nan,nan,True,,,nan,nan,nan,0.7431640625,0.7513784461152883,53,0.002557757431830232,7.30294290596234e-07,0.0,53,425,unconverged,nan,0.004057559084927664
